"","Genotype","aSG_abund","rG_abund","vLG_abund","SG_abund","rsLG_abund","shootEst.no18","vLG_dens_modelfit","rG_dens_modelfit","rsLG_dens_modelfit","aSG_dens_modelfit","SG_dens_modelfit"
"1","*",0.311456827039728,5.04309230342244,1.38052845335113,4.0179880387015,0.493627638660782,200,1.34253386531481,4.92532766234253,0.630365746694899,0.182731253182053,3.47189381045908
"2","A",0,1.10411350034815,0.124888421988937,0,0.207480729574091,200,0.119926936227789,1.09762125748051,0.228656454447367,2.46881628409739e-09,2.4688162840399e-09
"3","B",0.0643923294084386,3.72517601490703,4.3633611732678,0,0.381932964506751,200,3.91815066431528,3.16552311906883,0.36703651858323,0.111828415465139,3.29752284214431e-09
"4","D",0.564564220390923,6.58342691469088,4.50784656222373,0.528134096187371,2.18622256021824,200,4.55416233248316,6.59996309280303,1.63150420739549,0.715420666771179,0.476947111180789
"5","E",0.301244859151816,0,0.605013713289478,0,0,200,0.622237308577579,2.2256191602801e-15,6.04986012872338e-15,0.251548382901639,2.67653914369391e-09
"6","F",0.112598903937947,2.82350249058676,1.81285031633204,0,0.618275845622073,200,1.80372484169095,2.87116164829588,0.696139609057771,0.148941840458112,3.90336680713338e-09
"7","G",1.46820428654029,1.04754111624756,3.26000700800664,0,0.840595196205772,200,3.23866313279684,1.13289939993911,0.914089166845901,0.775532758764974,4.94228609909496e-09
"8","H",0.127923129824057,1.10703230377006,1.50505327535276,0.465357904446664,1.39289236663855,200,1.54806068347609,1.19828857612957,1.41224484171351,0.16140432980055,0.645617319202203
"9","I",1.23372559833964,3.21692319520936,5.11161718683507,1.04026998656614,2.8599305942568,200,5.07186632984065,3.1442635297179,2.7720874998451,1.34318066517885,0.767531808673631
"10","J",0.119321485833993,0.124011065106374,0.486665101880734,0.238642971667986,0.86807745574462,200,0.512922830222473,0.131164091974064,0.897146205686444,0.134381543484452,0.268763086968906
"11","K",0.625458102201178,5.23805100383728,6.43601753601369,0,1.24362354620644,200,6.41756385435844,5.1988126743439,1.27431071667949,0.603280765297341,2.68126045061069e-09
"12","L",0.149297959095857,0.106109550790065,1.86364817419299,0,0.527081511587473,200,1.83088822864481,0.126121718519044,0.449843989696482,0.134586265809288,2.83842018183216e-09
"13","M",0,0.371568588992884,1.43878452494469,0,1.0116201312491,200,1.60621449175032,0.435933696725552,1.08305549548361,2.88554617084615e-09,2.88554617085504e-09
"14","N",0.125207155123849,1.86709608970661,0.466774022426651,0,0,200,0.399655935509835,1.79718094514729,6.97377327355007e-15,0.120946940849667,3.08529069063645e-09
"15","O",0.133474059856661,0.981565709224365,1.72381542645009,0,1.04791809263412,200,1.70122151510456,0.938732539461616,1.07398019596893,0.139967353396879,2.9326848961907e-09
"16","P",0,0.588342956070365,0.436855495997279,1.32969710724817,0,200,0.468223797988678,0.643389787487062,7.04032096631967e-15,3.11473228574069e-09,0.574451012986875
"17","Q",0.62010350589157,0.711334457413216,0,0.0656369903353875,0.0850715634287189,200,1.57074774172273e-13,0.782156721624143,0.107466897649008,0.656755241777951,0.109459206962992
"18","R",0.0834212874104132,1.97697343063628,0.515589716096276,0,0,200,0.498578567803798,2.11049069241326,9.5113290953211e-15,0.117889697748005,4.20793936396422e-09
"19","S",0.097518009978249,21.5253783355943,8.26724313688293,0,0.884955481106134,200,5.70525432309669,18.7786448282271,1.03109350828437,0.101751728320934,3.5239816650498e-09
"20","T",0,0,3.93171521488079,0.411750260790795,0,200,3.89659082897306,2.11822218180577e-15,5.75792487036586e-15,2.5473830677206e-09,0.459146272213488
"21","U",0,0,0,0,0.111219142250763,200,1.99406983336079e-13,3.65226629751639e-15,0.195855279638597,4.39223109943518e-09,4.39223109943429e-09
"22","V",0.0769918059587804,0,3.76097996750677,0.268302868401204,1.49303726737132,200,3.71777911814251,2.14308000838958e-15,1.42368503305994,0.100793498326365,0.302380494979097
"23","W",0,4.44322415566913,0.685007653116682,0,0.297196676784532,200,0.781581634127443,4.57626267225127,0.371200460137919,3.90426451748999e-09,3.90426451748754e-09
"24","X",0.102839091387663,4.56917697037473,8.36090926114605,0,0.157734558956716,200,8.20873911413267,4.50647821013874,0.149452472610411,0.145847441794823,3.84301959247955e-09
"25","Y",0.0688607924123043,0.602877754681606,1.68408166956508,1.11266482838297,0,200,1.67139784925738,0.602384431515174,5.81944753680618e-15,0.101406907984002,0.912662171856026
"26","Z",0,2.26487424075976,2.72542139956144,0,0,200,2.60560697037185,2.21394420396566,5.47455504298547e-15,2.42201646601724e-09,2.42201646601916e-09
