"","Genotype","vLG_volume_mean","vLG_genotype_size_N","vLG_volume_modelfit","rG_volume_mean","rG_genotype_size_N","rG_volume_modelfit"
"1","*",0.0968956584094013,4,0.095860527593248,0.1555893222766,3,0.130675121005086
"2","A",0.0705700827244488,1,0.070570082724449,0.0757604000026543,4,0.0741098985069079
"3","B",0.341791775474991,5,0.312318457550169,0.126251075375427,2,0.126083173704332
"4","D",0.14139955111283,3,0.12602744879,0.10789335521032,5,0.102795689000393
"5","E",0.439482200853041,3,0.403715663286444,NA,NA,NA
"6","F",0.555121418458714,2,0.544825342180218,0.108016575989747,3,0.0945410209767648
"7","G",0.344380759772179,2,0.343218245402879,0.248425389111776,3,0.23147116470377
"8","H",0.215780213722847,4,0.192743175546665,0.108995558016173,2,0.108633907376112
"9","I",0.236754575919989,4,0.214978011578062,0.16644634880597,3,0.165357734205837
"10","J",0.0418329082066634,2,0.0401231043058057,0.151213894350137,1,0.151213894350138
"11","K",0.326076829271726,6,0.289914837174657,0.142943525739315,6,0.13926072994169
"12","L",0.306367011635508,4,0.212974993758778,0.138289653921034,1,0.138289653921034
"13","M",0.521747063161508,2,0.521689785677554,0.118452174054991,1,0.118452174054991
"14","N",0.187629139377454,1,0.187629139377454,0.149708804433692,1,0.149708804433693
"15","O",0.210991951869213,3,0.195826794789508,0.222927408997323,3,0.203036085048488
"16","P",0.238657340055524,1,0.238657340055524,0.20379323820586,2,0.19416679995313
"17","R",0.438196406146588,2,0.253240787425025,0.161509910639295,4,0.158895158850526
"18","S",0.348377503986167,6,0.301337154253002,0.0948964130157144,4,0.0783552109154744
"19","T",0.315795763121936,2,0.254901585966921,NA,NA,NA
"20","V",0.207748188899511,5,0.190797341870244,NA,NA,NA
"21","W",0.195093305649986,2,0.190774245070159,0.108512981162607,2,0.0951918573922873
"22","X",0.151363876908592,5,0.136994581371065,0.198367529593168,4,0.192944228312029
"23","Y",0.225957429444339,4,0.188932320359348,0.156728452689951,4,0.15318098107627
"24","Z",0.347830788612223,8,0.217448964212243,0.158804549052985,6,0.156243382061508
