"","node.id","node.set","node.labels","c","z"
"aSG_Tory","aSG_Tory","higher","Ceci-Tory",0.52588459353804,-0.270466250341809
"rG_Eulo","rG_Eulo","higher","Rabd.B-Eulo",0.245475965945956,-0.576916916684747
"rG_Lestodip","rG_Lestodip","higher","Rabd.B-Lest",0.398984584426824,0.191261755411203
"rG_Mesopol","rG_Mesopol","higher","Rabd.B-Meso",0,-0.665927264844153
"rG_Platy","rG_Platy","higher","Rabd.B-Plat",0.4662052309554,-0.513053002662006
"rG_Tory","rG_Tory","higher","Rabd.B-Tory",0.442795316070638,1.31600930408784
"rsLG_Eury","rsLG_Eury","higher","Pont-Eury",0.32414793261824,0.0331463765999993
"rsLG_Lathro","rsLG_Lathro","higher","Pont_Lath",0,-0.777991476701093
"SG_Platy","SG_Platy","higher","Rabd.S-Plat",0,-0.847815815972228
"vLG_Eulo","vLG_Eulo","higher","Iteo-Eulo",0.504505163245272,-0.098668703154356
"vLG_Mesopol","vLG_Mesopol","higher","Iteo-Meso",0.577317103451686,1.20988373114068
"vLG_Mymarid","vLG_Mymarid","higher","Iteo-Myma",0,-1.14115459327322
"vLG_Platy","vLG_Platy","higher","Iteo-Plat",0.501412136997584,1.00068441060942
"vLG_Tory","vLG_Tory","higher","Iteo-Tory",0.64029787247054,0.697498289975814
"*","*","lower","C",0.604774034091317,-0.359161721940688
"A","A","lower","A",0,-0.622608809464111
"B","B","lower","B",0.582858993937711,-0.393293228669353
"D","D","lower","D",0.649459700809875,0.0936074916240653
"E","E","lower","E",0,-0.632868984188279
"F","F","lower","F",0.521087216856471,-0.184779849211105
"G","G","lower","G",0,-0.65983518138062
"H","H","lower","H",0.37037037037037,-0.638236359339943
"I","I","lower","I",0.28771242521297,1.55597477881665
"J","J","lower","J",0.458054090763645,-0.52476644008568
"K","K","lower","K",0.426828336546837,2.09878841905978
"L","L","lower","L",0.372784149201208,-0.379263109178582
"M","M","lower","M",0.215205234979179,-0.588072775376504
"N","N","lower","N",0.394384736142978,-0.25701694962403
"O","O","lower","O",0,-0.622608809464111
"P","P","lower","P",0,-0.65983518138062
"Q","Q","lower","Q",0.391735537190083,-0.350208303693697
"R","R","lower","R",0.0785975164353543,1.12328758064836
"S","S","lower","S",0.664342220498608,0.242775452837093
"T","T","lower","T",0,-0.085454459693097
"V","V","lower","V",0.470117479360765,-0.247337990070079
"W","W","lower","W",0.480408083670723,0.461945457952547
"X","X","lower","X",0.454528557589887,1.83301731427111
"Y","Y","lower","Y",0.171154735937603,1.61854936354026
"Z","Z","lower","Z",0.671553830826677,-0.335829629063943
